title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
How to Get Away with Murder,SHOW,2014,TV-14,43,"['drama', 'thriller', 'crime']",['US'],6,5802,8.1,146712
Oldboy,MOVIE,2013,R,104,"['thriller', 'action', 'drama']",['US'],null,21511,5.7,75015
Rush,MOVIE,2013,R,123,"['drama', 'action', 'sport', 'european']","['US', 'DE', 'GB']",null,79320,8.1,465254
Reign,SHOW,2013,TV-14,42,"['drama', 'fantasy']",['US'],4,10394,7.5,47751
How to Train Your Dragon 2,MOVIE,2014,PG,102,"['fantasy', 'comedy', 'family', 'animation', 'action']",['US'],null,46971,7.8,327565
Begin Again,MOVIE,2013,R,104,"['comedy', 'music', 'romance', 'drama']",['US'],null,80929,7.4,154049
The Conjuring,MOVIE,2013,R,107,"['thriller', 'horror']",['US'],null,57767,7.5,491048
Insidious: Chapter 2,MOVIE,2013,PG-13,106,"['thriller', 'horror']",['US'],null,26417,6.5,167549
BoJack Horseman,SHOW,2014,TV-MA,26,"['drama', 'comedy', 'animation']",['US'],6,98228,8.8,143584
House of Cards,SHOW,2013,TV-MA,52,['drama'],['US'],6,56010,8.7,494092
Henry Danger,SHOW,2014,TV-G,24,"['scifi', 'action', 'comedy', 'family']",['US'],5,96174,5.6,5245
A Walk Among the Tombstones,MOVIE,2014,R,113,"['drama', 'thriller', 'action', 'crime']",['US'],null,65907,6.5,120389
Olympus Has Fallen,MOVIE,2013,R,119,"['thriller', 'action', 'drama']",['US'],null,2755,6.5,272334
The Giver,MOVIE,2014,PG-13,97,"['drama', 'scifi', 'romance', 'thriller']",['US'],null,35651,6.4,118117
Orange Is the New Black,SHOW,2013,TV-MA,59,"['drama', 'comedy', 'crime']",['US'],7,72162,8.1,295591
The Originals,SHOW,2013,TV-14,43,"['scifi', 'drama', 'fantasy', 'horror']",['US'],5,32424,8.3,131574
Jane the Virgin,SHOW,2014,TV-14,42,"['drama', 'comedy']",['US'],5,66726,7.8,46286
Creep,MOVIE,2014,R,77,"['horror', 'thriller']",['US'],null,28170,6.3,52233
St. Vincent,MOVIE,2014,PG-13,102,"['comedy', 'drama']",['US'],null,70593,7.2,102103
Marco Polo,SHOW,2014,TV-MA,55,"['action', 'drama', 'history', 'documentation']",['US'],2,89461,8,71229
Wentworth,SHOW,2013,TV-MA,46,"['drama', 'crime', 'thriller']",['AU'],9,33738,8.6,21747
Madam Secretary,SHOW,2014,TV-14,43,"['war', 'thriller', 'drama']",['US'],6,1074,7.6,22563
The Green Inferno,MOVIE,2013,R,100,"['horror', 'thriller']","['CA', 'CL', 'US']",null,3021,5.3,43149
Dark Skies,MOVIE,2013,PG-13,97,"['thriller', 'horror', 'scifi', 'documentation']",['US'],null,90332,6.3,75139
KILL la KILL,SHOW,2013,TV-MA,25,"['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],1,14390,7.9,13372
The Frozen Ground,MOVIE,2013,R,105,"['thriller', 'drama', 'crime']",['US'],null,5374,6.4,62183
Z Nation,SHOW,2014,TV-14,43,"['action', 'drama', 'scifi', 'comedy', 'horror', 'romance']",['US'],5,43168,6.6,36059
From Dusk Till Dawn: The Series,SHOW,2014,TV-14,45,"['scifi', 'crime', 'fantasy', 'horror', 'action']",['US'],3,37194,6.9,20132
Empire State,MOVIE,2013,R,94,"['drama', 'crime', 'thriller', 'action', 'european']",['US'],null,71867,5.2,21368
Derek,SHOW,2013,TV-MA,26,"['drama', 'comedy', 'european']",['GB'],3,16280,8.1,31976
Shrek the Musical,MOVIE,2013,PG-13,130,"['fantasy', 'family', 'comedy']",['US'],null,70936,6.9,3634
The Butler,MOVIE,2013,PG-13,132,"['drama', 'european']",['US'],null,27773,7.2,114013
The Thundermans,SHOW,2013,TV-G,24,"['action', 'scifi', 'family', 'comedy', 'drama']",['US'],4,12516,5.6,5340
Hemlock Grove,SHOW,2013,TV-MA,49,"['thriller', 'drama', 'fantasy', 'horror', 'scifi']",['US'],3,9295,7,39590
Scary Movie 5,MOVIE,2013,PG-13,86,"['comedy', 'horror']",['US'],null,95461,3.5,70814
The Seven Deadly Sins,SHOW,2014,TV-14,24,"['action', 'scifi', 'comedy', 'fantasy', 'animation']",['JP'],5,9224,7.9,30341
Sofia the First,SHOW,2013,TV-Y,24,"['family', 'fantasy', 'animation']",['US'],4,36138,6.8,2915
